participant_id	age	sex	handedness	group
sub-01	23	M	R	healthy
sub-02	28	F	R	healthy
sub-03	19	M	R	healthy
sub-04	30	F	R	healthy
sub-05	27	M	R	healthy
sub-06	22	F	R	healthy
sub-07	24	M	R	healthy
sub-08	26	F	R	healthy
sub-09	29	M	R	healthy
sub-10	20	F	R	healthy
sub-11	21	M	R	healthy
sub-12	25	F	R	healthy
sub-13	30	M	R	healthy
sub-14	23	F	R	healthy
sub-15	28	M	R	healthy
sub-16	27	F	R	healthy
sub-17	22	M	R	healthy
sub-18	19	F	R	healthy
sub-19	26	M	R	healthy
sub-20	24	F	R	healthy
sub-21	25	M	R	healthy
sub-22	30	F	R	healthy
sub-23	29	M	R	healthy
sub-24	28	F	R	healthy
sub-25	20	M	R	healthy
sub-26	21	F	R	healthy
sub-27	23	M	R	healthy
sub-28	22	F	R	healthy
sub-29	24	M	R	healthy
sub-30	26	F	R	healthy
